service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20231208,20231229
2,1,1,1,1,1,0,0,20231208,20231222
3,1,1,1,1,1,0,0,20231208,20231208
4,1,1,1,1,1,0,0,20231208,20231222
5,1,1,1,1,1,0,0,20231208,20231229
6,1,1,1,1,1,0,0,20231208,20231229
7,1,1,1,1,1,0,0,20231208,20231222
8,1,1,1,1,1,0,0,20231208,20231229
9,1,1,1,1,1,0,0,20231208,20231222
10,1,1,1,1,1,0,0,20231208,20231221
11,1,1,1,1,1,0,0,20231208,20231222
12,0,0,0,0,0,1,1,20231209,20231209
13,0,0,0,0,0,1,1,20231209,20231231
14,0,0,0,0,0,1,1,20231209,20231230
15,0,0,0,0,0,1,1,20231209,20231231
16,0,0,0,0,0,1,1,20231209,20231230
17,0,0,0,0,0,1,1,20231209,20231230
18,0,0,0,0,0,1,1,20231209,20231217
19,0,0,0,0,0,1,1,20231209,20231231
20,0,0,0,0,0,1,1,20231209,20231231
21,0,0,0,0,0,1,1,20231209,20231230
22,0,0,0,0,0,1,1,20231209,20231231
23,0,0,0,0,0,1,1,20231209,20231230
24,0,0,0,0,0,1,1,20231209,20231231
25,0,0,0,0,0,1,1,20231209,20231230
26,0,0,0,0,0,1,1,20231209,20231231
27,0,0,0,0,0,1,1,20231209,20231223
28,0,0,0,0,0,1,1,20231209,20231216
29,0,0,0,0,0,1,1,20231209,20231231
30,0,0,0,0,0,1,1,20231209,20231231
31,0,0,0,0,0,1,1,20231209,20231231
32,0,0,0,0,0,1,1,20231210,20231230
33,0,0,0,0,0,1,1,20231210,20231226
34,0,0,0,0,0,1,1,20231210,20231231
35,0,0,0,0,0,1,1,20231210,20231230
36,0,0,0,0,0,1,1,20231210,20231226
37,0,0,0,0,0,1,1,20231210,20231231
38,0,0,0,0,0,1,1,20231210,20231217
39,0,0,0,0,0,1,1,20231210,20231230
40,0,0,0,0,0,1,1,20231210,20231231
41,0,0,0,0,0,1,1,20231210,20231231
42,0,0,0,0,0,1,1,20231210,20231231
43,0,0,0,0,0,1,1,20231210,20231231
44,0,0,0,0,0,1,1,20231210,20231231
45,0,0,0,0,0,1,1,20231210,20231231
46,0,0,0,0,0,1,1,20231210,20231230
47,0,0,0,0,0,1,1,20231210,20231231
48,0,0,0,0,0,1,1,20231210,20231231
49,0,0,0,0,0,1,1,20231210,20231231
50,0,0,0,0,0,1,1,20231210,20231231
51,0,0,0,0,0,1,1,20231210,20231231
52,0,0,0,0,0,1,1,20231210,20231231
53,0,0,0,0,0,1,1,20231210,20231231
54,0,0,0,0,0,1,1,20231210,20231231
55,1,1,1,1,1,0,0,20231211,20231229
56,1,1,1,1,1,0,0,20231211,20231229
57,1,1,1,1,1,0,0,20231211,20231222
58,1,1,1,1,1,0,0,20231211,20231228
59,1,1,1,1,1,0,0,20231211,20231227
60,1,1,1,1,1,0,0,20231211,20231221
61,1,1,1,1,1,0,0,20231211,20231229
62,1,1,1,1,1,0,0,20231211,20231227
63,1,1,1,1,1,0,0,20231211,20231221
64,1,1,1,1,1,0,0,20231211,20231222
65,1,1,1,1,1,0,0,20231211,20231222
66,1,1,1,1,1,0,0,20231211,20231215
67,1,1,1,1,1,0,0,20231212,20231221
68,1,1,1,1,1,0,0,20231212,20231221
69,1,1,1,1,1,0,0,20231212,20231229
70,1,1,1,1,1,0,0,20231214,20231229
71,1,1,1,1,1,0,0,20231215,20231229
72,1,1,1,1,1,0,0,20231215,20231222
73,1,1,1,1,1,0,0,20231215,20231229
74,0,0,0,0,0,1,1,20231216,20231230
75,0,0,0,0,0,1,1,20231216,20231231
76,0,0,0,0,0,1,1,20231216,20231230
77,0,0,0,0,0,1,1,20231216,20231231
78,0,0,0,0,0,1,1,20231216,20231216
79,0,0,0,0,0,1,1,20231216,20231231
80,0,0,0,0,0,1,1,20231216,20231230
81,0,0,0,0,0,1,1,20231216,20231231
82,0,0,0,0,0,1,1,20231216,20231231
83,1,1,1,1,1,0,0,20231218,20231229
84,1,1,1,1,1,0,0,20231222,20231222
85,0,0,0,0,0,1,1,20231223,20231231
86,0,0,0,0,0,1,1,20231223,20231231
87,0,0,0,0,0,1,1,20231223,20231230
88,0,0,0,0,0,1,1,20231223,20231230
89,0,0,0,0,0,1,1,20231224,20231231
90,0,0,0,0,0,1,1,20231224,20231224
91,0,0,0,0,0,1,1,20231224,20231231
92,0,0,0,0,0,1,1,20231224,20231231
93,0,0,0,0,0,1,1,20231225,20231226
94,0,0,0,0,0,1,1,20231225,20231225
95,0,0,0,0,0,1,1,20231225,20231231
96,0,0,0,0,0,1,1,20231226,20231226
97,1,1,1,1,1,0,0,20231227,20231229
98,1,1,1,1,1,0,0,20231227,20231228
99,1,1,1,1,1,0,0,20231227,20231229
100,1,1,1,1,1,0,0,20231228,20231228
101,1,1,1,1,1,0,0,20231229,20231229
102,0,0,0,0,0,1,1,20231231,20231231
103,1,1,1,1,1,1,1,20231208,20231223
104,0,1,1,1,1,1,0,20231209,20231223
105,0,1,1,1,1,1,0,20231209,20231209
106,0,1,1,1,1,1,0,20231209,20231230
107,0,0,0,0,0,1,1,20231209,20231224
108,0,0,0,0,0,1,0,20231209,20231230
109,1,0,0,0,0,0,1,20231210,20231210
110,0,0,0,0,0,1,0,20231209,20231209
111,1,0,0,0,0,0,1,20231210,20240101
112,0,0,0,0,1,1,0,20231208,20231208
113,0,0,0,0,1,1,0,20231208,20231230
114,0,0,0,0,1,1,0,20231208,20231230
115,0,0,0,0,0,0,1,20231210,20231231
116,1,0,0,0,0,0,1,20231211,20240101
117,0,0,0,0,1,1,0,20231209,20231230
118,0,0,0,0,1,1,0,20231209,20231230
119,0,0,0,0,1,1,0,20231209,20231231
120,0,1,1,1,1,1,0,20231212,20231223
121,1,1,1,1,0,0,1,20231210,20231221
122,1,1,1,1,0,0,1,20231210,20231228
123,0,0,0,0,0,1,0,20231216,20231230
124,0,0,0,0,0,1,1,20231224,20231231
125,0,0,0,0,0,0,1,20231225,20231226
126,1,0,0,0,0,0,1,20231226,20231227
127,0,0,0,0,1,1,0,20231224,20231225
128,0,1,1,1,1,1,0,20231228,20231230
129,1,1,1,1,0,0,1,20231226,20231228
130,0,0,0,0,0,1,1,20231230,20231231
131,0,0,0,0,1,1,0,20231231,20231231
