service_id,date,exception_type
1,20231225,2
1,20231226,2
2,20231211,2
2,20231212,2
2,20231213,2
2,20231214,2
2,20231218,2
2,20231219,2
2,20231220,2
2,20231221,2
5,20231211,2
5,20231218,2
5,20231225,2
5,20231226,2
5,20231227,2
6,20231211,2
6,20231212,2
6,20231213,2
6,20231214,2
6,20231218,2
6,20231219,2
6,20231220,2
6,20231221,2
6,20231225,2
6,20231226,2
6,20231227,2
6,20231228,2
7,20231211,2
7,20231218,2
8,20231211,2
8,20231212,2
8,20231213,2
8,20231218,2
8,20231219,2
8,20231220,2
8,20231225,2
8,20231226,2
8,20231227,2
9,20231212,2
9,20231213,2
9,20231214,2
9,20231219,2
9,20231220,2
9,20231221,2
11,20231212,2
11,20231214,2
11,20231219,2
11,20231221,2
13,20231224,2
13,20231225,1
13,20231226,1
14,20231224,2
14,20231225,1
14,20231226,1
15,20231210,2
15,20231217,2
15,20231224,2
15,20231225,1
16,20231210,2
16,20231217,2
16,20231224,2
16,20231225,1
17,20231224,2
19,20231225,1
19,20231226,1
21,20231224,2
21,20231226,1
22,20231226,1
23,20231210,2
23,20231217,2
23,20231224,2
24,20231210,2
24,20231217,2
24,20231225,1
25,20231210,2
25,20231217,2
25,20231224,2
25,20231225,1
25,20231226,1
26,20231224,2
28,20231210,2
29,20231224,2
29,20231226,1
30,20231210,2
30,20231217,2
30,20231224,2
31,20231210,2
31,20231217,2
31,20231225,1
31,20231226,1
32,20231224,2
32,20231225,1
32,20231226,1
33,20231216,2
33,20231223,2
33,20231224,2
33,20231225,1
33,20231226,1
34,20231224,2
34,20231225,1
34,20231226,1
35,20231224,2
36,20231216,2
36,20231223,2
36,20231224,2
36,20231226,1
38,20231216,2
39,20231224,2
39,20231226,1
40,20231216,2
40,20231223,2
40,20231225,1
40,20231226,1
40,20231230,2
41,20231226,1
42,20231216,2
42,20231223,2
42,20231226,1
42,20231230,2
43,20231216,2
43,20231223,2
43,20231224,2
43,20231225,1
43,20231226,1
43,20231230,2
44,20231225,1
44,20231226,1
45,20231216,2
45,20231223,2
45,20231224,2
45,20231226,1
45,20231230,2
46,20231216,2
46,20231224,2
46,20231226,1
47,20231216,2
47,20231225,1
47,20231226,1
48,20231216,2
49,20231216,2
49,20231224,2
49,20231226,1
50,20231216,2
50,20231223,2
50,20231230,2
51,20231216,2
51,20231223,2
51,20231224,2
51,20231230,2
52,20231224,2
53,20231224,2
53,20231226,1
54,20231216,2
54,20231224,2
54,20231225,1
54,20231226,1
55,20231215,2
55,20231222,2
55,20231225,2
55,20231226,2
56,20231225,2
56,20231226,2
58,20231215,2
58,20231222,2
58,20231225,2
58,20231226,2
59,20231212,2
59,20231213,2
59,20231214,2
59,20231215,2
59,20231219,2
59,20231220,2
59,20231221,2
59,20231222,2
59,20231225,2
59,20231226,2
60,20231215,2
61,20231212,2
61,20231213,2
61,20231214,2
61,20231215,2
61,20231219,2
61,20231220,2
61,20231221,2
61,20231222,2
61,20231225,2
61,20231226,2
62,20231214,2
62,20231215,2
62,20231221,2
62,20231222,2
62,20231225,2
62,20231226,2
64,20231212,2
64,20231214,2
64,20231219,2
64,20231221,2
65,20231212,2
65,20231213,2
65,20231214,2
65,20231219,2
65,20231220,2
65,20231221,2
67,20231215,2
67,20231218,2
68,20231213,2
68,20231215,2
68,20231218,2
68,20231220,2
69,20231215,2
69,20231218,2
69,20231222,2
69,20231225,2
69,20231226,2
70,20231218,2
70,20231219,2
70,20231220,2
70,20231225,2
70,20231226,2
70,20231227,2
71,20231218,2
71,20231219,2
71,20231220,2
71,20231221,2
71,20231225,2
71,20231226,2
71,20231227,2
71,20231228,2
72,20231218,2
72,20231219,2
72,20231220,2
72,20231221,2
73,20231218,2
73,20231219,2
73,20231220,2
73,20231221,2
73,20231225,2
73,20231226,2
74,20231217,2
74,20231224,2
75,20231217,2
75,20231225,1
75,20231226,1
76,20231217,2
76,20231224,2
76,20231225,1
76,20231226,1
77,20231217,2
77,20231226,1
79,20231217,2
79,20231225,1
80,20231217,2
80,20231224,2
80,20231225,1
81,20231217,2
81,20231224,2
81,20231225,1
82,20231217,2
82,20231224,2
83,20231225,2
83,20231226,2
85,20231224,2
87,20231224,2
88,20231224,2
88,20231225,1
88,20231226,1
89,20231230,2
91,20231225,1
91,20231230,2
92,20231225,1
92,20231226,1
93,20231225,1
93,20231226,1
94,20231225,1
95,20231225,1
95,20231230,2
96,20231226,1
99,20231228,2
106,20231226,2
106,20231227,2
114,20231224,1
114,20231225,1
118,20231224,1
118,20231225,1
119,20231224,1
119,20231225,1
119,20231231,1
122,20231224,2
122,20231225,2
125,20231225,1
125,20231226,1
126,20231226,1
126,20231227,1
127,20231224,1
127,20231225,1
131,20231231,1
