route_id,service_id,trip_id,trip_headsign,wheelchair_accessible,block_id,direction_id,exceptional
L103D99,1,1,"Hlavní nádraží",1,,1,1
L103D99,1,2,"Dolní nádraží",1,,0,1
L103D99,1,3,"Hlavní nádraží",1,,1,1
L103D99,1,4,"Hlavní nádraží",1,,1,1
L103D99,1,5,"Dolní nádraží",1,,0,1
L103D99,1,6,"Dolní nádraží",1,,0,1
L103D99,1,7,"Hlavní nádraží",1,,1,1
L103D99,1,8,"Dolní nádraží",1,,0,1
L103D99,1,9,"Hlavní nádraží",1,,1,1
L103D99,1,10,"Dolní nádraží",1,,0,1
L103D99,1,11,"Hlavní nádraží",1,,1,1
L103D99,1,12,"Dolní nádraží",1,,0,1
L103D99,1,13,"Dolní nádraží",1,,0,1
L103D99,1,14,"Hlavní nádraží",1,,1,1
L103D99,1,15,"Dolní nádraží",1,,0,1
L103D99,1,16,"Hlavní nádraží",1,,1,1
L103D99,1,17,"Dolní nádraží",1,,0,1
L103D99,1,18,"Hlavní nádraží",1,,1,1
L103D99,1,19,"Dolní nádraží",1,,0,1
L103D99,1,20,"Hlavní nádraží",1,,1,1
L103D99,1,21,"Dolní nádraží",1,,0,1
L103D99,1,22,"Hlavní nádraží",1,,1,1
L103D99,1,23,"Hlavní nádraží",1,,1,1
L103D99,1,24,"Hlavní nádraží",1,,1,1
L103D99,1,25,"Hlavní nádraží",1,,1,1
L103D99,1,26,"Hlavní nádraží",1,,1,1
L103D99,1,27,"Dolní nádraží",1,,0,1
L103D99,1,28,"Hlavní nádraží",1,,1,1
L103D99,1,29,"Dolní nádraží",1,,0,1
L103D99,1,30,"Hlavní nádraží",1,,1,1
L103D99,1,31,"Hlavní nádraží",1,,1,1
L103D99,1,32,"Dolní nádraží",1,,0,1
L103D99,1,33,"Dolní nádraží",1,,0,1
L103D99,1,34,"Hlavní nádraží",1,,1,1
L103D99,1,35,"Dolní nádraží",1,,0,1
L103D99,1,36,"Dolní nádraží",1,,0,1
L103D99,1,37,"Hlavní nádraží",1,,1,1
L103D99,1,38,"Dolní nádraží",1,,0,1
L103D99,1,39,"Hlavní nádraží",1,,1,1
L103D99,1,40,"Dolní nádraží",1,,0,1
L103D99,1,41,"Hlavní nádraží",1,,1,1
L103D99,1,42,"Dolní nádraží",1,,0,1
L104D99,1,43,"ÚAN Zvonařka",1,,1,0
L104D99,1,44,"Laa an der Thaya, Therme",1,,0,0
L104D99,1,45,"Pohořelice, náměstí",1,,1,0
L104D99,1,46,"Laa an der Thaya, Therme",1,,0,0
L104D99,1,47,"ÚAN Zvonařka",1,,1,0
L104D99,1,48,"Laa an der Thaya, Therme",1,,0,0
L104D99,1,49,"Pohořelice, náměstí",1,,1,0
L104D99,1,50,"Hevlín, škola",1,,0,0
L104D99,1,51,"ÚAN Zvonařka",1,,1,0
L104D99,1,52,"Laa an der Thaya, Therme",1,,0,0
L104D99,1,53,"ÚAN Zvonařka",1,,1,0
L108D99,1,54,"Znojmo, autobusové nádraží",1,,0,0
L108D99,1,55,"ÚAN Zvonařka",1,,1,0
L104D99,1,56,"Hevlín, škola",1,,0,0
L104D99,1,57,"Laa an der Thaya, Therme",2,,0,0
L104D99,1,58,"ÚAN Zvonařka",2,,1,0
L104D99,1,59,"Laa an der Thaya, Therme",2,,0,0
L104D99,1,60,"Pohořelice, náměstí",2,,1,0
L104D99,1,61,"ÚAN Zvonařka",1,,1,0
L104D99,1,62,"Hevlín, škola",1,,0,0
L104D99,1,63,"ÚAN Zvonařka",1,,1,0
L104D99,1,64,"Laa an der Thaya, Therme",1,,0,0
L104D99,1,65,"ÚAN Zvonařka",1,,1,0
L104D99,1,66,"Laa an der Thaya, Therme",1,,0,0
L104D99,1,67,"Pohořelice, náměstí",1,,1,0
L104D99,1,68,"Hevlín, škola",1,,0,0
L104D99,2,69,"Hrušovany nad Jevišovkou, žel. st.",1,,1,0
L104D99,2,70,"Laa an der Thaya, Therme",1,,0,0
L104D99,2,71,"ÚAN Zvonařka",1,,1,0
L108D99,2,72,"Znojmo, autobusové nádraží",1,,0,0
L108D99,2,73,"ÚAN Zvonařka",1,,1,0
L104D99,2,74,"Laa an der Thaya, Therme",1,,0,0
L104D99,2,75,"Pohořelice, náměstí",1,,1,0
L104D99,2,76,"Hevlín, škola",1,,0,0
L105D99,3,77,"ÚAN Zvonařka",1,,1,1
L105D99,3,78,"Mikulov, u parku",1,,0,1
L105D99,3,79,"ÚAN Zvonařka",1,,1,1
L105D99,3,80,"Mikulov, železniční stanice",1,,0,1
L105D99,3,81,"ÚAN Zvonařka",1,,1,1
L105D99,3,82,"Mikulov, železniční stanice",1,,0,1
L105D99,3,83,"ÚAN Zvonařka",1,,1,1
L105D99,3,84,"Mikulov, železniční stanice",1,,0,1
L105D99,3,85,"ÚAN Zvonařka",1,,1,1
L105D99,3,86,"Mikulov, železniční stanice",1,,0,1
L105D99,3,87,"ÚAN Zvonařka",1,,1,1
L105D99,3,88,"Mikulov, železniční stanice",1,,0,1
L105D99,3,89,"ÚAN Zvonařka",1,,1,1
L105D99,3,90,"Mikulov, železniční stanice",1,,0,1
L164D99,3,91,"Pohořelice, náměstí",1,,1,0
L105D99,3,92,"Mikulov, železniční stanice",1,,0,1
L105D99,3,93,"ÚAN Zvonařka",1,,1,1
L105D99,3,94,"Mikulov, železniční stanice",1,,0,1
L105D99,3,95,"ÚAN Zvonařka",1,,1,1
L504D99,3,96,"Pohořelice, náměstí",1,,0,1
L504D99,3,97,"Ústřední hřbitov",1,,1,1
L108D99,3,98,"Znojmo, autobusové nádraží",1,,0,0
L108D99,3,99,"ÚAN Zvonařka",1,,1,0
L504D99,3,100,"Pohořelice, náměstí",1,,0,1
L504D99,3,101,"Ústřední hřbitov",1,,1,1
L504D99,3,102,"Pohořelice, náměstí",1,1,0,1
L164D99,3,103,"Vedrovice, obecní úřad",1,1,0,0
L105D99,3,104,"ÚAN Zvonařka",1,,1,1
L105D99,3,105,"Mikulov, železniční stanice",1,,0,1
L105D99,3,106,"ÚAN Zvonařka",1,,1,1
